1729,1947
1729,2385
1729,5724
1729,5863
1729,6428
1729,7773
1729,9977
1729,11474
1729,11717
1730,2386
1730,6987
1730,7774
1730,9978
1730,11475
1731,2387
1731,6988
1731,7775
1731,9979
1732,1948
1732,2388
1732,5728
1732,5881
1732,6715
1732,7776
1732,8622
1732,9980
1732,11476
1732,11718
1733,1949
1733,2389
1733,5729
1733,5882
1733,6418
1733,7777
1733,8623
1733,9648
1733,9982
1733,11477
1733,11719
1734,1953
1734,9985
1735,2394
1735,5821
1735,5943
1735,6716
1735,7779
1735,9985
1735,11479
1736,1954
1736,2395
1736,9986
1737,2396
1737,5726
1737,5944
1737,6425
1737,7780
1737,8575
1737,9987
1737,11480
1737,11721
1738,1955
1738,2397
1738,5822
1738,5945
1738,6464
1738,9988
1738,11481
1739,1966
1739,2411
1739,5097
1739,6707
1740,1967
1740,2403
1740,5794
1740,6003
1740,6552
1740,7750
1740,8559
1740,10987
1740,11461
1740,11736
1741,1968
1741,2404
1741,5732
1741,6024
1741,6420
1741,7669
1741,8631
1741,11456
1741,11734
1742,1969
1742,2405
1742,6017
1742,6443
1742,7719
1742,10988
1742,11458
1743,1970
1743,2406
1743,5799
1743,6008
1743,6445
1743,7752
1743,10989
1743,11459
1744,1971
1744,2407
1744,5276
1744,6023
1744,6643
1744,8628
1744,11451
1744,11732
1745,1972
1745,2408
1745,6025
1745,6439
1745,7747
1745,8627
1745,9659
1745,11450
1746,1973
1746,2409
1746,5731
1746,5867
1746,6424
1746,7766
1746,8626
1746,11454
1747,1974
1747,2410
1747,6019
1747,6436
1747,7699
1747,8589
1747,10977
1747,11462
1747,11737
1748,1975
1748,2412
1748,6611
1748,7765
1748,11457
1749,1976
1749,2413
1749,5797
1749,6006
1749,6549
1749,7728
1749,10960
1750,1977
1750,2414
1750,5795
1750,6004
1750,6553
1750,7751
1750,8560
1750,10983
1750,11460
1751,1978
1751,2154
1751,2415
1751,5716
1751,5916
1751,6616
1751,7768
1751,10944
1752,1979
1752,2416
1752,5796
1752,6005
1752,6626
1752,7753
1753,1980
1753,2417
1753,5798
1753,6007
1753,6551
1753,7754
1753,10986
1754,2418
1754,6623
1755,2419
1755,5800
1755,6009
1755,6671
1755,7755
1755,10963
1756,1959
1756,2454
1756,5721
1756,5880
1757,1960
1757,2455
1758,1961
1758,2456
1758,5719
1758,5861
1758,10937
