prop,serie,ref,name,name_es,color,medium
C,MC,70.938,Transparent Blue,Azul Transparente,#353F61,4
M,MC,70.942,Light Green,Verde Claro,#449A6B,4
M,MC,70.973,Light Sea Grey,Gris Medio,#97ACB0,4
SG,GC,72.001,Dead White,Blanco Calavera,#FFFFFF,4
SG,GC,72.003,Pale Flesh,Carne Pálida,#C39E7E,4
SG,GC,72.004,Elf Skin Tone,Piel de Elfos,#C5895B,4
SG,GC,72.005,Moon Yellow,Amarillo Lunar,#EDB524,4
SG,GC,72.006,Sun Yellow,Amarillo Soleado,#FAA222,4
SG,GC,72.007,Gold Yellow,Amarillo Dorado,#D6792D,4
SG,GC,72.008,Orange Fire,Naranja Fuego,#F2652A,4
SG,GC,72.009,Hot Orange,Naranja Tostado,#E9462E,4
SG,GC,72.010,Bloody Red,Rojo Sanguina,#D9282A,4
SG,GC,72.011,Gory Red,Rojo Visceral,#7A1E25,4
SG,GC,72.012,Scarlet Red,Rojo Escarlata,#721C23,4
SG,GC,72.013,Squid Pink,Rosa Pulpo,#C277A4,4
SG,GC,72.014,Warlord Purple,Púrpura,#832859,4
SG,GC,72.015,Hexed Lichen,Púrpura Hechicero,#4B2A5B,4
SG,GC,72.016,Royal Purple,Púrpura Real,#271E39,4
SG,GC,72.019,Night Blue,Azul Negro,#141F30,4
SG,GC,72.020,Imperial Blue,Azul Imperial,#1F2B4B,4
SG,GC,72.021,Magic Blue,Azul Mágico,#0071AB,4
SG,GC,72.022,Ultramarine Blue,Azul Ultramar,#36426F,4
SG,GC,72.023,Electric Blue,Azul Eléctrico,#439AB1,4
SG,GC,72.024,Turquoise,Halcón Milenario,#036666,4
SG,GC,72.025,Foul Green,Verde Malicioso,#00AA87,4
SG,GC,72.026,Jade Green,Verde Jade,#007A5E,4
SG,GC,72.027,Scurvy Green,Verde Casposo,#164F46,4
SG,GC,72.028,Dark Green,Verde Oscuro,#133423,4
SG,GC,72.029,Sick Green,Verde Asqueroso,#3F643D,4
SG,GC,72.030,Goblin Green,Verde Goblin,#54623A,4
SG,GC,72.031,Camouflage Green,Verde Camuflaje,#8A7A40,4
SG,GC,72.032,Scorpy Green,Verde Escorpena,#538844,4
SG,GC,72.034,Bone White,Blanco Hueso,#B79F77,4
SG,GC,72.035,Dead Flesh,Carne Muerta,#BBA758,4
SG,GC,72.036,Bronze Brown,Marrón Bronceado,#AF6E32,4
